,district,hazard,rp,index,hhid,helped_cat,affected_cat,pov_line,ispoor,pcwgt,pcsoc,c,k,dk_private,dk_public,dk0,pc_fee,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta,scale_fac_soc
0,Ampara,PF,5.0,0,52101051011,helped,a,43493.30859375,1.0,5.065581348701985,0.0,42252.66402108329,128604.51219922266,8610.108335066852,0.0,8610.108335066852,0.0,2828.8277638590325,0.0,2828.8277638590325,5905.865192958295,0.0,5905.865192958295,2.209812927683536,2,36346.798828125,0.0,0,0.0,0.00972977836352264,0.0,-1,5.799614643545269,5.799614643545269,False,0.20753377151881133,6803.810241182844,3521.055335090274,0.0,0.07115053698992413,0.0,0.07115053698992413,0.5497098830208075,0.0,0.010369390636549968,1.1675481287612795e-06
1,Ampara,PF,5.0,1,52101051021,helped,a,43493.30859375,0.0,7.09181388818278,0.0,93914.60573751283,285848.0604495976,37233.094412897175,0.0,37233.094412897175,0.0,12232.832283958753,0.0,12232.832283958753,51380.612460146,0.0,51380.612460146,1.0514242985570077,1,36346.798828125,0.0,0,0.0,0.006526245786778746,0.23293288219651562,-1,0.0,0.0,True,83.68816093168385,0.09824036069608155,7826.217144792736,0.0,28.058221351530868,0.0,28.058221351530868,117.85076130525184,117.85076130525184,0.0,1.1675481287612795e-06
2,Ampara,PF,5.0,2,52101051041,helped,a,43493.30859375,0.0,3.0393488092211913,0.0,189890.06322699296,577968.7392161,58877.982920567185,0.0,58877.982920567185,0.0,19344.20175497422,0.0,19344.20175497422,101082.04377993297,0.0,101082.04377993297,1.388258190421231,1,36346.798828125,0.0,0,0.0,0.004589642686662065,0.15892916012034303,-1,0.0,0.0,True,18.762495650937968,0.09899600804572373,15824.171935582746,0.0,6.33148107058824,0.0,6.33148107058824,33.0848000282279,33.0848000282279,0.0,1.1675481287612795e-06
3,Ampara,PF,5.0,3,52101051051,helped,a,43493.30859375,0.0,4.052465078961589,0.0,185510.6888011759,564639.2291173065,78894.05580908769,0.0,78894.05580908769,0.0,25920.428267695934,0.0,25920.428267695934,102407.55842504543,0.0,102407.55842504543,0.9694916730157388,1,36346.798828125,0.0,0,0.0,0.004643500821149795,0.25932422263438776,-1,0.0,0.0,True,285.19782494492483,0.0998598501424155,15459.224066764657,0.0,95.46775658405217,0.0,95.46775658405217,377.1781761906197,377.1781761906197,0.0,1.1675481287612795e-06
4,Ampara,PF,5.0,4,52101051061,helped,a,43493.30859375,0.0,6.078697618442383,0.0,119899.00962193316,364936.8389624983,48547.575057080176,0.0,48547.575057080176,0.0,15950.17424231194,0.0,15950.17424231194,65769.93188170761,0.0,65769.93188170761,1.0262048635965797,1,36346.798828125,0.0,0,0.0,0.005775933677332381,0.24058962080864113,-1,0.0,0.0,True,126.30590360110645,0.09994589171528645,9991.584135161096,0.0,42.32614633005878,0.0,42.32614633005878,174.53024140378616,174.53024140378616,0.0,1.1675481287612795e-06
5,Ampara,PF,5.0,5,52101051081,helped,a,43493.30859375,0.0,7.09181388818278,0.0,111920.58600889788,340652.8961474091,53428.783936902604,0.0,53428.783936902604,0.0,17553.88219383677,0.0,17553.88219383677,62781.19326592077,0.0,62781.19326592077,0.8464971077293423,1,36346.798828125,0.0,0,0.0,0.005978262876591123,0.3090940255381061,-1,0.0,0.0,True,394.15643870976953,0.09867577475086975,9326.71550074149,0.0,131.62849812769608,0.0,131.62849812769608,470.7673259399693,470.7673259399693,0.0,1.1675481287612795e-06
6,Ampara,PF,5.0,6,52101051091,helped,a,43493.30859375,0.0,6.078697618442383,0.0,93183.89750288204,283624.00243451586,47844.58533055098,0.0,47844.58533055098,0.0,15719.208872455416,0.0,15719.208872455416,52845.85871980619,0.0,52845.85871980619,0.7759843583312171,1,36346.798828125,0.0,0,0.0,0.006551783832808397,0.34503667081366735,-1,0.0,0.0,True,531.2873286701482,0.0991427931359059,7765.324791906837,0.0,177.18245482387448,0.0,177.18245482387448,595.6635000669922,595.6635000669922,0.0,1.1675481287612795e-06
7,Ampara,PF,5.0,7,52101051101,helped,a,43493.30859375,0.0,5.065581348701985,0.0,107344.88809052588,326725.83586856845,29693.02814871281,0.0,29693.02814871281,0.0,9755.563943142228,0.0,9755.563943142228,56527.3864408114,0.0,56527.3864408114,1.5751785996167162,1,36346.798828125,0.0,0,0.0,0.006104348389754694,0.13248050068406936,-1,0.0,0.0,True,3.2002812041147446,0.09987151128667637,8945.407340877156,0.0,1.0838445097738847,0.0,1.0838445097738847,6.280200488953625,6.280200488953625,0.0,1.1675481287612795e-06
8,Ampara,PF,5.0,8,52101053011,helped,a,43493.30859375,0.0,1.8010988102314913,22499.999450683594,205349.94354133017,556540.9688016331,82596.93526411754,0.0,82596.93526411754,0.0,27137.482037005564,0.0,27137.482037005564,112549.71015905513,0.0,112549.71015905513,1.0340847132999507,1,36346.798828125,0.0,0,0.0,0.004413495638762264,0.2381483039237535,-1,0.0,0.0,True,205.2923394832914,0.09893137024444343,17112.495295110846,0.0,68.83186576098473,0.0,68.83186576098473,285.39373374857064,285.39373374857064,0.0,1.1675481287612795e-06
9,Ampara,PF,5.0,9,52101053021,helped,a,43493.30859375,0.0,3.6021976204629826,0.0,173356.15172921692,527644.4419870399,58306.997594902874,0.0,58306.997594902874,0.0,19156.606073347673,0.0,19156.606073347673,93060.11797538096,0.0,93060.11797538096,1.267489580161367,1,36346.798828125,0.0,0,0.0,0.004803528445287456,0.1805731029186167,-1,0.0,0.0,True,37.43201157711519,0.0983640844851319,14446.345977434743,0.0,12.602226878032948,0.0,12.602226878032948,61.21985885871061,61.21985885871061,0.0,1.1675481287612795e-06
